id,title,text,tags,category,date,score,meta
1,Sample title 1,This is sample text for document 1. It discusses kinase and binding.,chemistry;qsar;data,research,2021-11-10,77.35,"{""source"": ""pubmed"", ""citations"": 20}"
2,Sample title 2,This is sample text for document 2. It discusses protein and binding.,ML,news,2022-10-10,18.4,"{""source"": ""arxiv"", ""citations"": 7}"
3,Sample title 3,This is sample text for document 3. It discusses protein and inhibition.,ML,research,2020-02-27,89.76,"{""source"": ""arxiv"", ""citations"": 17}"
4,Sample title 4,This is sample text for document 4. It discusses protein and binding.,chemistry;AI;data,news,2021-11-25,24.41,"{""source"": ""arxiv"", ""citations"": 34}"
5,Sample title 5,This is sample text for document 5. It discusses enzyme and inhibition.,biology,news,2022-05-15,4.84,"{""source"": ""internal"", ""citations"": 8}"
6,Sample title 6,This is sample text for document 6. It discusses protein and binding.,qsar,news,2020-01-26,98.75,"{""source"": ""internal"", ""citations"": 3}"
7,Sample title 7,This is sample text for document 7. It discusses enzyme and inhibition.,chemistry;drug,report,2021-12-05,90.9,"{""source"": ""internal"", ""citations"": 12}"
8,Sample title 8,This is sample text for document 8. It discusses protein and inhibition.,drug;ML,report,2022-09-13,49.23,"{""source"": ""arxiv"", ""citations"": 22}"
9,Sample title 9,This is sample text for document 9. It discusses protein and inhibition.,data;analysis;chemistry,news,2020-11-23,72.65,"{""source"": ""internal"", ""citations"": 38}"
10,Sample title 10,This is sample text for document 10. It discusses protein and activation.,qsar;AI;data,research,2021-07-18,85.01,"{""source"": ""internal"", ""citations"": 18}"
11,Sample title 11,This is sample text for document 11. It discusses kinase and inhibition.,biology;chemistry,report,2022-11-01,72.86,"{""source"": ""pubmed"", ""citations"": 18}"
12,Sample title 12,This is sample text for document 12. It discusses protein and inhibition.,biology,report,2020-02-05,51.81,"{""source"": ""pubmed"", ""citations"": 31}"
13,Sample title 13,This is sample text for document 13. It discusses kinase and activation.,qsar;AI,report,2021-02-21,58.47,"{""source"": ""pubmed"", ""citations"": 13}"
14,Sample title 14,This is sample text for document 14. It discusses kinase and binding.,biology;AI,research,2022-02-14,7.24,"{""source"": ""pubmed"", ""citations"": 1}"
15,Sample title 15,This is sample text for document 15. It discusses enzyme and binding.,analysis;qsar,report,2020-11-27,2.82,"{""source"": ""pubmed"", ""citations"": 41}"
16,Sample title 16,This is sample text for document 16. It discusses enzyme and inhibition.,drug,news,2021-02-04,54.69,"{""source"": ""pubmed"", ""citations"": 31}"
17,Sample title 17,This is sample text for document 17. It discusses protein and activation.,data;qsar;chemistry,news,2022-11-06,18.55,"{""source"": ""pubmed"", ""citations"": 0}"
18,Sample title 18,This is sample text for document 18. It discusses kinase and binding.,ML;chemistry;data,research,2020-11-05,34.64,"{""source"": ""arxiv"", ""citations"": 50}"
19,Sample title 19,This is sample text for document 19. It discusses enzyme and inhibition.,AI;ML,news,2021-03-10,8.32,"{""source"": ""pubmed"", ""citations"": 0}"
20,Sample title 20,This is sample text for document 20. It discusses protein and activation.,qsar,report,2022-10-24,90.84,"{""source"": ""pubmed"", ""citations"": 19}"
21,Sample title 21,This is sample text for document 21. It discusses protein and binding.,drug,research,2020-08-08,31.98,"{""source"": ""arxiv"", ""citations"": 3}"
22,Sample title 22,This is sample text for document 22. It discusses kinase and activation.,analysis;biology,news,2021-07-25,30.28,"{""source"": ""arxiv"", ""citations"": 10}"
23,Sample title 23,This is sample text for document 23. It discusses protein and activation.,data,research,2022-07-04,77.15,"{""source"": ""internal"", ""citations"": 38}"
24,Sample title 24,This is sample text for document 24. It discusses enzyme and binding.,drug;chemistry,report,2020-11-16,85.6,"{""source"": ""pubmed"", ""citations"": 7}"
25,Sample title 25,This is sample text for document 25. It discusses protein and binding.,biology,research,2021-09-28,36.08,"{""source"": ""internal"", ""citations"": 44}"
26,Sample title 26,This is sample text for document 26. It discusses kinase and activation.,biology,report,2022-07-14,43.97,"{""source"": ""arxiv"", ""citations"": 0}"
